"","x"
"204","THUNDERSTORM WIND G60"
"205","THUNDERSTORM WINDS G60"
"206","HARD FREEZE"
"207","HAIL 200"
"208","HEAVY SNOW AND HIGH WINDS"
"209","HEAVY SNOW/HIGH WINDS & FLOOD"
"210","HEAVY RAIN AND FLOOD"
"211","RIP CURRENTS/HEAVY SURF"
"212","URBAN AND SMALL"
"213","WILDFIRES"
"214","FOG AND COLD TEMPERATURES"
"215","SNOW/COLD"
"216","FLASH FLOOD FROM ICE JAMS"
"217","TSTM WIND G58"
"218","MUDSLIDE"
"219","HEAVY SNOW SQUALLS"
"220","SNOW SQUALL"
"221","SNOW/ICE STORM"
"222","HEAVY SNOW/SQUALLS"
"223","HEAVY SNOW-SQUALLS"
"224","ICY ROADS"
"225","HEAVY MIX"
"226","SNOW FREEZING RAIN"
"227","SNOW/SLEET"
"228","SNOW/FREEZING RAIN"
"229","SNOW SQUALLS"
"230","SNOW/SLEET/FREEZING RAIN"
"231","RECORD SNOW"
"232","HAIL 0.75"
"233","RECORD HEAT"
"234","THUNDERSTORM WIND 65MPH"
"235","THUNDERSTORM WIND/ TREES"
"236","THUNDERSTORM WIND/AWNING"
"237","THUNDERSTORM WIND 98 MPH"
"238","THUNDERSTORM WIND TREES"
"239","TORNADO F2"
"240","RIP CURRENTS"
"241","HURRICANE EMILY"
"242","COASTAL SURGE"
"243","HURRICANE GORDON"
"244","HURRICANE FELIX"
"245","THUNDERSTORM WIND 60 MPH"
"246","THUNDERSTORM WINDS 63 MPH"
"247","THUNDERSTORM WIND/ TREE"
"248","THUNDERSTORM DAMAGE TO"
"249","THUNDERSTORM WIND 65 MPH"
"250","FLASH FLOOD - HEAVY RAIN"
"251","THUNDERSTORM WIND."
"252","FLASH FLOOD/ STREET"
"253","BLOWING SNOW"
"254","HEAVY SNOW/BLIZZARD"
"255","THUNDERSTORM HAIL"
"256","THUNDERSTORM WINDSHAIL"
"257","LIGHTNING  WAUSEON"
"258","THUDERSTORM WINDS"
"259","ICE AND SNOW"
"260","STORM FORCE WINDS"
"261","HEAVY SNOW/ICE"
"262","LIGHTING"
"263","HIGH WIND/HEAVY SNOW"
"264","THUNDERSTORM WINDS AND"
"265","HEAVY PRECIPITATION"
"266","HIGH WIND/BLIZZARD"
"267","TSTM WIND DAMAGE"
"268","FLOOD FLASH"
"269","RAIN/WIND"
"270","SNOW/ICE"
"271","HAIL 75"
"272","HEAT WAVE DROUGHT"
"273","HEAVY SNOW/BLIZZARD/AVALANCHE"
"274","HEAT WAVES"
"275","UNSEASONABLY WARM AND DRY"
"276","UNSEASONABLY COLD"
"277","RECORD/EXCESSIVE HEAT"
"278","THUNDERSTORM WIND G52"
"279","HIGH WAVES"
"280","FLASH FLOOD/FLOOD"
"281","FLOOD/FLASH"
"282","LOW TEMPERATURE"
"283","HEAVY RAINS/FLOODING"
"284","THUNDERESTORM WINDS"
"285","THUNDERSTORM WINDS/FLOODING"
"286","HYPOTHERMIA"
"287","THUNDEERSTORM WINDS"
"288","THUNERSTORM WINDS"
"289","HIGH WINDS/COLD"
"290","COLD/WINDS"
"291","SNOW/ BITTER COLD"
"292","COLD WEATHER"
"293","RAPIDLY RISING WATER"
"294","WILD/FOREST FIRE"
"295","ICE/STRONG WINDS"
"296","SNOW/HIGH WINDS"
"297","HIGH WINDS/SNOW"
"298","SNOWMELT FLOODING"
"299","HEAVY SNOW AND STRONG WINDS"
"300","SNOW ACCUMULATION"
"301","SNOW/ ICE"
"302","SNOW/BLOWING SNOW"
"303","TORNADOES"
"304","THUNDERSTORM WIND/HAIL"
"305","FREEZING DRIZZLE"
"306","HAIL 175"
"307","FLASH FLOODING/FLOOD"
"308","HAIL 275"
"309","HAIL 450"
"310","EXCESSIVE RAINFALL"
"311","THUNDERSTORMW"
"312","HAILSTORM"
"313","TSTM WINDS"
"314","TSTMW"
"315","TSTM WIND 65)"
"316","TROPICAL STORM DEAN"
"317","THUNDERSTORM WINDS/ FLOOD"
"318","LANDSLIDE"
"319","HIGH WIND AND SEAS"
"320","THUNDERSTORMWINDS"
"321","WILD/FOREST FIRES"
"322","HEAVY SEAS"
"323","HAIL DAMAGE"
"324","FLOOD & HEAVY RAIN"
"325","?"
"326","THUNDERSTROM WIND"
"327","FLOOD/FLASHFLOOD"
"328","HIGH WATER"
"329","HIGH WIND 48"
"330","LANDSLIDES"
"331","URBAN/SMALL STREAM"
"332","BRUSH FIRE"
"333","HEAVY SHOWER"
"334","HEAVY SWELLS"
"335","URBAN SMALL"
"336","URBAN FLOODS"
"337","FLASH FLOOD/LANDSLIDE"
"338","HEAVY RAIN/SMALL STREAM URBAN"
"339","FLASH FLOOD LANDSLIDES"
"340","TSTM WIND/HAIL"
"341","Other"
"342","Ice jam flood (minor"
"343","Tstm Wind"
"344","URBAN/SML STREAM FLD"
"345","ROUGH SURF"
"346","Heavy Surf"
"347","Dust Devil"
"348","Marine Accident"
"349","Freeze"
"350","Strong Wind"
"351","COASTAL STORM"
"352","Erosion/Cstl Flood"
"353","River Flooding"
"354","Damaging Freeze"
"355","Beach Erosion"
"356","High Surf"
"357","Heavy Rain/High Surf"
"358","Unseasonable Cold"
"359","Early Frost"
"360","Wintry Mix"
"361","Extreme Cold"
"362","Coastal Flooding"
"363","Torrential Rainfall"
"364","Landslump"
"365","Hurricane Edouard"
"366","Coastal Storm"
"367","TIDAL FLOODING"
"368","Tidal Flooding"
"369","Strong Winds"
"370","EXTREME WINDCHILL"
"371","Glaze"
"372","Extended Cold"
"373","Whirlwind"
"374","Heavy snow shower"
"375","Light snow"
"376","Light Snow"
"377","MIXED PRECIP"
"378","Freezing Spray"
"379","DOWNBURST"
"380","Mudslides"
"381","Microburst"
"382","Mudslide"
"383","Cold"
"384","Coastal Flood"
"385","Snow Squalls"
"386","Wind Damage"
"387","Light Snowfall"
"388","Freezing Drizzle"
"389","Gusty wind/rain"
"390","GUSTY WIND/HVY RAIN"
"391","Wind"
"392","Cold Temperature"
"393","Heat Wave"
"394","Snow"
"395","COLD AND SNOW"
"396","RAIN/SNOW"
"397","TSTM WIND (G45)"
"398","Gusty Winds"
"399","GUSTY WIND"
"400","TSTM WIND 40"
"401","TSTM WIND 45"
"402","TSTM WIND (41)"
"403","TSTM WIND (G40)"
"404","Frost/Freeze"
"405","AGRICULTURAL FREEZE"
"406","OTHER"
"407","Hypothermia/Exposure"
"408","HYPOTHERMIA/EXPOSURE"
"409","Lake Effect Snow"
"410","Freezing Rain"
"411","Mixed Precipitation"
"412","BLACK ICE"
"413","COASTALSTORM"
"414","LIGHT SNOW"
"415","DAM BREAK"
"416","Gusty winds"
"417","blowing snow"
